Area,Item_x,Year,Unit_x,Crop_Yield,Item_y,Unit_y,Pesticides_Usage,Avg_Temperature,Avg_Rainfall
Albania,Potatoes,2010,hg/ha,2629,Pesticides (total),tonnes of active ingredients,1311.17,16.52,1485
Albania,Potatoes,2011,hg/ha,2631,Pesticides (total),tonnes of active ingredients,1302.63,16.45,1485
Albania,Potatoes,2012,hg/ha,2652,Pesticides (total),tonnes of active ingredients,766.25,16.7,1485
Albania,Potatoes,2013,hg/ha,2656,Pesticides (total),tonnes of active ingredients,982.32,17.41,1485
Albania,"Rice, paddy",1990,hg/ha,2814,Pesticides (total),tonnes of active ingredients,121,16.37,1485
Albania,"Rice, paddy",1991,hg/ha,2816,Pesticides (total),tonnes of active ingredients,121,15.36,1485
Albania,"Rice, paddy",1992,hg/ha,2821,Pesticides (total),tonnes of active ingredients,121,16.06,1485
Albania,"Rice, paddy",1993,hg/ha,2824,Pesticides (total),tonnes of active ingredients,121,16.05,1485
Albania,Sorghum,1990,hg/ha,2904,Pesticides (total),tonnes of active ingredients,121,16.37,1485
Albania,Sorghum,1991,hg/ha,2909,Pesticides (total),tonnes of active ingredients,121,15.36,1485
Albania,Sorghum,1992,hg/ha,2911,Pesticides (total),tonnes of active ingredients,121,16.06,1485
Albania,Soybeans,1990,hg/ha,2944,Pesticides (total),tonnes of active ingredients,121,16.37,1485
Albania,Soybeans,1991,hg/ha,2947,Pesticides (total),tonnes of active ingredients,121,15.36,1485
Albania,Soybeans,1992,hg/ha,2956,Pesticides (total),tonnes of active ingredients,121,16.06,1485
Albania,Soybeans,1993,hg/ha,2963,Pesticides (total),tonnes of active ingredients,121,16.05,1485
Albania,Soybeans,1994,hg/ha,2963,Pesticides (total),tonnes of active ingredients,201,16.96,1485
Albania,Soybeans,1995,hg/ha,2964,Pesticides (total),tonnes of active ingredients,251,15.67,1485
Albania,Soybeans,1996,hg/ha,2970,Pesticides (total),tonnes of active ingredients,313.96,15.64,1485
Albania,Soybeans,1997,hg/ha,2976,Pesticides (total),tonnes of active ingredients,376.93,15.9,1485
Albania,Soybeans,1998,hg/ha,2980,Pesticides (total),tonnes of active ingredients,439.89,16.27,1485
Albania,Soybeans,1999,hg/ha,2980,Pesticides (total),tonnes of active ingredients,502.86,16.57,1485
Albania,Soybeans,2000,hg/ha,2988,Pesticides (total),tonnes of active ingredients,565.82,16.67,1485
Albania,Soybeans,2001,hg/ha,2989,Pesticides (total),tonnes of active ingredients,628.79,16.59,1485
Albania,Soybeans,2002,hg/ha,2990,Pesticides (total),tonnes of active ingredients,691.75,16.47,1485
Albania,Soybeans,2004,hg/ha,3000,Pesticides (total),tonnes of active ingredients,817.68,16.16,1485
Albania,Soybeans,2005,hg/ha,3000,Pesticides (total),tonnes of active ingredients,880.64,15.67,1485
Albania,Soybeans,2006,hg/ha,3000,Pesticides (total),tonnes of active ingredients,943.61,15.92,1485
Albania,Soybeans,2007,hg/ha,3000,Pesticides (total),tonnes of active ingredients,1006.57,16.67,1485
Albania,Soybeans,2008,hg/ha,3000,Pesticides (total),tonnes of active ingredients,1069.54,16.71,1485
Albania,Soybeans,2009,hg/ha,3000,Pesticides (total),tonnes of active ingredients,1132.5,16.73,1485
Albania,Soybeans,2010,hg/ha,3000,Pesticides (total),tonnes of active ingredients,1311.17,16.52,1485
Albania,Soybeans,2011,hg/ha,3002,Pesticides (total),tonnes of active ingredients,1302.63,16.45,1485
Albania,Soybeans,2012,hg/ha,3002,Pesticides (total),tonnes of active ingredients,766.25,16.7,1485
Albania,Soybeans,2013,hg/ha,3002,Pesticides (total),tonnes of active ingredients,982.32,17.41,1485
Albania,Wheat,1990,hg/ha,3139,Pesticides (total),tonnes of active ingredients,121,16.37,1485
Albania,Wheat,1991,hg/ha,3140,Pesticides (total),tonnes of active ingredients,121,15.36,1485
Albania,Wheat,1992,hg/ha,3143,Pesticides (total),tonnes of active ingredients,121,16.06,1485
Albania,Wheat,1993,hg/ha,3143,Pesticides (total),tonnes of active ingredients,121,16.05,1485
Albania,Wheat,1994,hg/ha,3143,Pesticides (total),tonnes of active ingredients,201,16.96,1485
Albania,Wheat,1995,hg/ha,3150,Pesticides (total),tonnes of active ingredients,251,15.67,1485
Albania,Wheat,1996,hg/ha,3150,Pesticides (total),tonnes of active ingredients,313.96,15.64,1485
Albania,Wheat,1997,hg/ha,3152,Pesticides (total),tonnes of active ingredients,376.93,15.9,1485
Albania,Wheat,1998,hg/ha,3153,Pesticides (total),tonnes of active ingredients,439.89,16.27,1485
Albania,Wheat,1999,hg/ha,3154,Pesticides (total),tonnes of active ingredients,502.86,16.57,1485
Albania,Wheat,2000,hg/ha,3162,Pesticides (total),tonnes of active ingredients,565.82,16.67,1485
Albania,Wheat,2001,hg/ha,3163,Pesticides (total),tonnes of active ingredients,628.79,16.59,1485
Albania,Wheat,2002,hg/ha,3166,Pesticides (total),tonnes of active ingredients,691.75,16.47,1485
Albania,Wheat,2004,hg/ha,3171,Pesticides (total),tonnes of active ingredients,817.68,16.16,1485
Albania,Wheat,2005,hg/ha,3172,Pesticides (total),tonnes of active ingredients,880.64,15.67,1485
Albania,Wheat,2006,hg/ha,3182,Pesticides (total),tonnes of active ingredients,943.61,15.92,1485
Albania,Wheat,2007,hg/ha,3182,Pesticides (total),tonnes of active ingredients,1006.57,16.67,1485
Albania,Wheat,2008,hg/ha,3188,Pesticides (total),tonnes of active ingredients,1069.54,16.71,1485
Albania,Wheat,2009,hg/ha,3197,Pesticides (total),tonnes of active ingredients,1132.5,16.73,1485
Albania,Wheat,2010,hg/ha,3200,Pesticides (total),tonnes of active ingredients,1311.17,16.52,1485
Albania,Wheat,2011,hg/ha,3200,Pesticides (total),tonnes of active ingredients,1302.63,16.45,1485
Albania,Wheat,2012,hg/ha,3202,Pesticides (total),tonnes of active ingredients,766.25,16.7,1485
Albania,Wheat,2013,hg/ha,3209,Pesticides (total),tonnes of active ingredients,982.32,17.41,1485
Algeria,Maize,1990,hg/ha,3291,Pesticides (total),tonnes of active ingredients,1828.92,17.48,89
Algeria,Maize,1991,hg/ha,3292,Pesticides (total),tonnes of active ingredients,2461.8,16.26,89
Algeria,Maize,1992,hg/ha,3293,Pesticides (total),tonnes of active ingredients,1215.47,16.27,89
Algeria,Maize,1993,hg/ha,3295,Pesticides (total),tonnes of active ingredients,1021.89,17,89
Algeria,Maize,1994,hg/ha,3300,Pesticides (total),tonnes of active ingredients,1255.02,17.88,89
Algeria,Maize,1995,hg/ha,3300,Pesticides (total),tonnes of active ingredients,2697.09,17.36,89
Algeria,Maize,1996,hg/ha,3300,Pesticides (total),tonnes of active ingredients,479.77,16.76,89
Algeria,Maize,1997,hg/ha,3302,Pesticides (total),tonnes of active ingredients,401.22,17.84,89
Algeria,Maize,1998,hg/ha,3302,Pesticides (total),tonnes of active ingredients,322.84,17.14,89
Algeria,Maize,1999,hg/ha,3307,Pesticides (total),tonnes of active ingredients,654.45,17.97,89
Algeria,Maize,2000,hg/ha,3307,Pesticides (total),tonnes of active ingredients,603.67,17.9,89
Algeria,Maize,2001,hg/ha,3307,Pesticides (total),tonnes of active ingredients,710.11,18.13,89
Algeria,Maize,2002,hg/ha,3311,Pesticides (total),tonnes of active ingredients,816.55,17.85,89
Algeria,Maize,2004,hg/ha,3314,Pesticides (total),tonnes of active ingredients,3747.86,17.38,89
Algeria,Maize,2005,hg/ha,3319,Pesticides (total),tonnes of active ingredients,3662.87,17.19,89
Algeria,Maize,2006,hg/ha,3319,Pesticides (total),tonnes of active ingredients,4110.72,18.13,89
Algeria,Maize,2007,hg/ha,3320,Pesticides (total),tonnes of active ingredients,5390.79,17.42,89
Algeria,Maize,2008,hg/ha,3320,Pesticides (total),tonnes of active ingredients,11556.12,17.55,89
Algeria,Maize,2009,hg/ha,3321,Pesticides (total),tonnes of active ingredients,3867.99,17.78,89
Algeria,Maize,2010,hg/ha,3322,Pesticides (total),tonnes of active ingredients,1295.88,17.59,89
Algeria,Maize,2011,hg/ha,3328,Pesticides (total),tonnes of active ingredients,13861.76,17.79,89
Algeria,Maize,2012,hg/ha,3329,Pesticides (total),tonnes of active ingredients,17379.76,17.91,89
Algeria,Maize,2013,hg/ha,3332,Pesticides (total),tonnes of active ingredients,17278.65,17.65,89
Algeria,Potatoes,1990,hg/ha,3366,Pesticides (total),tonnes of active ingredients,1828.92,17.48,89
Algeria,Potatoes,1991,hg/ha,3368,Pesticides (total),tonnes of active ingredients,2461.8,16.26,89
Algeria,Potatoes,1992,hg/ha,3369,Pesticides (total),tonnes of active ingredients,1215.47,16.27,89
Algeria,Potatoes,1993,hg/ha,3378,Pesticides (total),tonnes of active ingredients,1021.89,17,89
Algeria,Potatoes,1994,hg/ha,3380,Pesticides (total),tonnes of active ingredients,1255.02,17.88,89
Algeria,Potatoes,1995,hg/ha,3382,Pesticides (total),tonnes of active ingredients,2697.09,17.36,89
Algeria,Potatoes,1996,hg/ha,3385,Pesticides (total),tonnes of active ingredients,479.77,16.76,89
Algeria,Potatoes,1997,hg/ha,3387,Pesticides (total),tonnes of active ingredients,401.22,17.84,89
Algeria,Potatoes,1998,hg/ha,3389,Pesticides (total),tonnes of active ingredients,322.84,17.14,89
Algeria,Potatoes,1999,hg/ha,3390,Pesticides (total),tonnes of active ingredients,654.45,17.97,89
Algeria,Potatoes,2000,hg/ha,3394,Pesticides (total),tonnes of active ingredients,603.67,17.9,89
Algeria,Potatoes,2001,hg/ha,3396,Pesticides (total),tonnes of active ingredients,710.11,18.13,89
Algeria,Potatoes,2002,hg/ha,3400,Pesticides (total),tonnes of active ingredients,816.55,17.85,89
Algeria,Potatoes,2004,hg/ha,3421,Pesticides (total),tonnes of active ingredients,3747.86,17.38,89
Algeria,Potatoes,2005,hg/ha,3423,Pesticides (total),tonnes of active ingredients,3662.87,17.19,89
Algeria,Potatoes,2006,hg/ha,3429,Pesticides (total),tonnes of active ingredients,4110.72,18.13,89
Algeria,Potatoes,2007,hg/ha,3429,Pesticides (total),tonnes of active ingredients,5390.79,17.42,89
Algeria,Potatoes,2008,hg/ha,3429,Pesticides (total),tonnes of active ingredients,11556.12,17.55,89
Algeria,Potatoes,2009,hg/ha,3434,Pesticides (total),tonnes of active ingredients,3867.99,17.78,89
Algeria,Potatoes,2010,hg/ha,3435,Pesticides (total),tonnes of active ingredients,1295.88,17.59,89
Algeria,Potatoes,2011,hg/ha,3441,Pesticides (total),tonnes of active ingredients,13861.76,17.79,89
Algeria,Potatoes,2012,hg/ha,3444,Pesticides (total),tonnes of active ingredients,17379.76,17.91,89
Algeria,Potatoes,2013,hg/ha,3453,Pesticides (total),tonnes of active ingredients,17278.65,17.65,89
Algeria,"Rice, paddy",1990,hg/ha,3574,Pesticides (total),tonnes of active ingredients,1828.92,17.48,89
Algeria,"Rice, paddy",1991,hg/ha,3577,Pesticides (total),tonnes of active ingredients,2461.8,16.26,89
Algeria,"Rice, paddy",1992,hg/ha,3581,Pesticides (total),tonnes of active ingredients,1215.47,16.27,89
Algeria,"Rice, paddy",1993,hg/ha,3583,Pesticides (total),tonnes of active ingredients,1021.89,17,89
Algeria,"Rice, paddy",1994,hg/ha,3585,Pesticides (total),tonnes of active ingredients,1255.02,17.88,89
Algeria,"Rice, paddy",1995,hg/ha,3591,Pesticides (total),tonnes of active ingredients,2697.09,17.36,89
Algeria,"Rice, paddy",1996,hg/ha,3592,Pesticides (total),tonnes of active ingredients,479.77,16.76,89
Algeria,"Rice, paddy",1997,hg/ha,3594,Pesticides (total),tonnes of active ingredients,401.22,17.84,89
Algeria,"Rice, paddy",1998,hg/ha,3597,Pesticides (total),tonnes of active ingredients,322.84,17.14,89
Algeria,"Rice, paddy",1999,hg/ha,3600,Pesticides (total),tonnes of active ingredients,654.45,17.97,89
Algeria,"Rice, paddy",2000,hg/ha,3600,Pesticides (total),tonnes of active ingredients,603.67,17.9,89
Algeria,"Rice, paddy",2001,hg/ha,3600,Pesticides (total),tonnes of active ingredients,710.11,18.13,89
Algeria,"Rice, paddy",2002,hg/ha,3602,Pesticides (total),tonnes of active ingredients,816.55,17.85,89
Algeria,"Rice, paddy",2004,hg/ha,3611,Pesticides (total),tonnes of active ingredients,3747.86,17.38,89
Algeria,"Rice, paddy",2005,hg/ha,3611,Pesticides (total),tonnes of active ingredients,3662.87,17.19,89
Algeria,"Rice, paddy",2006,hg/ha,3611,Pesticides (total),tonnes of active ingredients,4110.72,18.13,89
Algeria,"Rice, paddy",2007,hg/ha,3611,Pesticides (total),tonnes of active ingredients,5390.79,17.42,89
Algeria,"Rice, paddy",2008,hg/ha,3614,Pesticides (total),tonnes of active ingredients,11556.12,17.55,89
Algeria,"Rice, paddy",2009,hg/ha,3617,Pesticides (total),tonnes of active ingredients,3867.99,17.78,89
Algeria,"Rice, paddy",2010,hg/ha,3631,Pesticides (total),tonnes of active ingredients,1295.88,17.59,89
Algeria,"Rice, paddy",2011,hg/ha,3651,Pesticides (total),tonnes of active ingredients,13861.76,17.79,89
Algeria,"Rice, paddy",2012,hg/ha,3654,Pesticides (total),tonnes of active ingredients,17379.76,17.91,89
Algeria,"Rice, paddy",2013,hg/ha,3663,Pesticides (total),tonnes of active ingredients,17278.65,17.65,89
Algeria,Sorghum,1990,hg/ha,3720,Pesticides (total),tonnes of active ingredients,1828.92,17.48,89
Algeria,Sorghum,1991,hg/ha,3721,Pesticides (total),tonnes of active ingredients,2461.8,16.26,89
Algeria,Sorghum,1992,hg/ha,3721,Pesticides (total),tonnes of active ingredients,1215.47,16.27,89
Algeria,Sorghum,1993,hg/ha,3730,Pesticides (total),tonnes of active ingredients,1021.89,17,89
Algeria,Sorghum,1995,hg/ha,3731,Pesticides (total),tonnes of active ingredients,2697.09,17.36,89
Algeria,Sorghum,1996,hg/ha,3734,Pesticides (total),tonnes of active ingredients,479.77,16.76,89
Algeria,Sorghum,1997,hg/ha,3735,Pesticides (total),tonnes of active ingredients,401.22,17.84,89
Algeria,Sorghum,1998,hg/ha,3739,Pesticides (total),tonnes of active ingredients,322.84,17.14,89
Algeria,Sorghum,1999,hg/ha,3740,Pesticides (total),tonnes of active ingredients,654.45,17.97,89
Algeria,Sorghum,2000,hg/ha,3745,Pesticides (total),tonnes of active ingredients,603.67,17.9,89
Algeria,Sorghum,2001,hg/ha,3745,Pesticides (total),tonnes of active ingredients,710.11,18.13,89
Algeria,Sorghum,2002,hg/ha,3747,Pesticides (total),tonnes of active ingredients,816.55,17.85,89
Algeria,Sorghum,2004,hg/ha,3750,Pesticides (total),tonnes of active ingredients,3747.86,17.38,89
Algeria,Sorghum,2005,hg/ha,3750,Pesticides (total),tonnes of active ingredients,3662.87,17.19,89
Algeria,Sorghum,2006,hg/ha,3750,Pesticides (total),tonnes of active ingredients,4110.72,18.13,89
Algeria,Sorghum,2007,hg/ha,3750,Pesticides (total),tonnes of active ingredients,5390.79,17.42,89
Algeria,Sorghum,2008,hg/ha,3750,Pesticides (total),tonnes of active ingredients,11556.12,17.55,89
Algeria,Sorghum,2009,hg/ha,3750,Pesticides (total),tonnes of active ingredients,3867.99,17.78,89
Algeria,Sorghum,2010,hg/ha,3750,Pesticides (total),tonnes of active ingredients,1295.88,17.59,89
Algeria,Sorghum,2011,hg/ha,3751,Pesticides (total),tonnes of active ingredients,13861.76,17.79,89
Algeria,Sorghum,2012,hg/ha,3754,Pesticides (total),tonnes of active ingredients,17379.76,17.91,89
Algeria,Sorghum,2013,hg/ha,3763,Pesticides (total),tonnes of active ingredients,17278.65,17.65,89
Algeria,Wheat,1990,hg/ha,3852,Pesticides (total),tonnes of active ingredients,1828.92,17.48,89
Algeria,Wheat,1991,hg/ha,3855,Pesticides (total),tonnes of active ingredients,2461.8,16.26,89
Algeria,Wheat,1992,hg/ha,3857,Pesticides (total),tonnes of active ingredients,1215.47,16.27,89
Algeria,Wheat,1993,hg/ha,3857,Pesticides (total),tonnes of active ingredients,1021.89,17,89
Algeria,Wheat,1994,hg/ha,3858,Pesticides (total),tonnes of active ingredients,1255.02,17.88,89
Algeria,Wheat,1995,hg/ha,3861,Pesticides (total),tonnes of active ingredients,2697.09,17.36,89
Algeria,Wheat,1996,hg/ha,3862,Pesticides (total),tonnes of active ingredients,479.77,16.76,89
Algeria,Wheat,1997,hg/ha,3864,Pesticides (total),tonnes of active ingredients,401.22,17.84,89
Algeria,Wheat,1998,hg/ha,3870,Pesticides (total),tonnes of active ingredients,322.84,17.14,89
Algeria,Wheat,1999,hg/ha,3871,Pesticides (total),tonnes of active ingredients,654.45,17.97,89
Algeria,Wheat,2000,hg/ha,3871,Pesticides (total),tonnes of active ingredients,603.67,17.9,89
Algeria,Wheat,2001,hg/ha,3871,Pesticides (total),tonnes of active ingredients,710.11,18.13,89
Algeria,Wheat,2002,hg/ha,3875,Pesticides (total),tonnes of active ingredients,816.55,17.85,89
Algeria,Wheat,2004,hg/ha,3886,Pesticides (total),tonnes of active ingredients,3747.86,17.38,89
Algeria,Wheat,2005,hg/ha,3893,Pesticides (total),tonnes of active ingredients,3662.87,17.19,89
Algeria,Wheat,2006,hg/ha,3895,Pesticides (total),tonnes of active ingredients,4110.72,18.13,89
Algeria,Wheat,2007,hg/ha,3900,Pesticides (total),tonnes of active ingredients,5390.79,17.42,89
Algeria,Wheat,2008,hg/ha,3902,Pesticides (total),tonnes of active ingredients,11556.12,17.55,89
Algeria,Wheat,2009,hg/ha,3904,Pesticides (total),tonnes of active ingredients,3867.99,17.78,89
Algeria,Wheat,2010,hg/ha,3904,Pesticides (total),tonnes of active ingredients,1295.88,17.59,89
Algeria,Wheat,2011,hg/ha,3904,Pesticides (total),tonnes of active ingredients,13861.76,17.79,89
Algeria,Wheat,2012,hg/ha,3905,Pesticides (total),tonnes of active ingredients,17379.76,17.91,89
Algeria,Wheat,2013,hg/ha,3911,Pesticides (total),tonnes of active ingredients,17278.65,17.65,89
Angola,Cassava,1990,hg/ha,4167,Pesticides (total),tonnes of active ingredients,64,24.12,1010
Angola,Cassava,1991,hg/ha,4167,Pesticides (total),tonnes of active ingredients,79,24.02,1010
Angola,Cassava,1992,hg/ha,4167,Pesticides (total),tonnes of active ingredients,23,23.96,1010
Angola,Cassava,1993,hg/ha,4167,Pesticides (total),tonnes of active ingredients,169,24.15,1010
Angola,Cassava,1994,hg/ha,4167,Pesticides (total),tonnes of active ingredients,25.5,24.04,1010
Angola,Cassava,1995,hg/ha,4167,Pesticides (total),tonnes of active ingredients,336,24.56,1010
Angola,Cassava,1996,hg/ha,4167,Pesticides (total),tonnes of active ingredients,40,24.11,1010
Angola,Cassava,1997,hg/ha,4168,Pesticides (total),tonnes of active ingredients,40,24.06,1010
Angola,Cassava,1998,hg/ha,4170,Pesticides (total),tonnes of active ingredients,40,24.96,1010
Angola,Cassava,1999,hg/ha,4175,Pesticides (total),tonnes of active ingredients,40,24.37,1010
Angola,Cassava,2000,hg/ha,4176,Pesticides (total),tonnes of active ingredients,40,24.41,1010
Angola,Cassava,2001,hg/ha,4178,Pesticides (total),tonnes of active ingredients,40,24.43,1010
Angola,Cassava,2002,hg/ha,4180,Pesticides (total),tonnes of active ingredients,40,24.79,1010
Angola,Cassava,2004,hg/ha,4199,Pesticides (total),tonnes of active ingredients,40,24.22,1010
Angola,Cassava,2005,hg/ha,4200,Pesticides (total),tonnes of active ingredients,40,24.41,1010
Angola,Cassava,2006,hg/ha,4200,Pesticides (total),tonnes of active ingredients,40,24.14,1010
Angola,Cassava,2007,hg/ha,4202,Pesticides (total),tonnes of active ingredients,40,24.24,1010
Angola,Cassava,2008,hg/ha,4204,Pesticides (total),tonnes of active ingredients,40,24.27,1010
Angola,Cassava,2009,hg/ha,4204,Pesticides (total),tonnes of active ingredients,40,24.33,1010
Angola,Cassava,2010,hg/ha,4208,Pesticides (total),tonnes of active ingredients,40,24.44,1010
Angola,Cassava,2011,hg/ha,4217,Pesticides (total),tonnes of active ingredients,40,24.15,1010
Angola,Cassava,2012,hg/ha,4218,Pesticides (total),tonnes of active ingredients,40,24.24,1010
Angola,Cassava,2013,hg/ha,4220,Pesticides (total),tonnes of active ingredients,40,24.55,1010
Angola,Maize,1990,hg/ha,4286,Pesticides (total),tonnes of active ingredients,64,24.12,1010
Angola,Maize,1991,hg/ha,4286,Pesticides (total),tonnes of active ingredients,79,24.02,1010
Angola,Maize,1992,hg/ha,4286,Pesticides (total),tonnes of active ingredients,23,23.96,1010
Angola,Maize,1993,hg/ha,4286,Pesticides (total),tonnes of active ingredients,169,24.15,1010
Angola,Maize,1994,hg/ha,4288,Pesticides (total),tonnes of active ingredients,25.5,24.04,1010
Angola,Maize,1995,hg/ha,4291,Pesticides (total),tonnes of active ingredients,336,24.56,1010
Angola,Maize,1996,hg/ha,4291,Pesticides (total),tonnes of active ingredients,40,24.11,1010
Angola,Maize,1997,hg/ha,4298,Pesticides (total),tonnes of active ingredients,40,24.06,1010
Angola,Maize,1998,hg/ha,4298,Pesticides (total),tonnes of active ingredients,40,24.96,1010
Angola,Maize,1999,hg/ha,4300,Pesticides (total),tonnes of active ingredients,40,24.37,1010
Angola,Maize,2000,hg/ha,4300,Pesticides (total),tonnes of active ingredients,40,24.41,1010
Angola,Maize,2001,hg/ha,4301,Pesticides (total),tonnes of active ingredients,40,24.43,1010
Angola,Maize,2002,hg/ha,4314,Pesticides (total),tonnes of active ingredients,40,24.79,1010
Angola,Maize,2004,hg/ha,4316,Pesticides (total),tonnes of active ingredients,40,24.22,1010
Angola,Maize,2005,hg/ha,4317,Pesticides (total),tonnes of active ingredients,40,24.41,1010
Angola,Maize,2006,hg/ha,4326,Pesticides (total),tonnes of active ingredients,40,24.14,1010
Angola,Maize,2007,hg/ha,4328,Pesticides (total),tonnes of active ingredients,40,24.24,1010
Angola,Maize,2008,hg/ha,4329,Pesticides (total),tonnes of active ingredients,40,24.27,1010
Angola,Maize,2009,hg/ha,4333,Pesticides (total),tonnes of active ingredients,40,24.33,1010
Angola,Maize,2010,hg/ha,4334,Pesticides (total),tonnes of active ingredients,40,24.44,1010
Angola,Maize,2011,hg/ha,4334,Pesticides (total),tonnes of active ingredients,40,24.15,1010
Angola,Maize,2012,hg/ha,4337,Pesticides (total),tonnes of active ingredients,40,24.24,1010
Angola,Maize,2013,hg/ha,4337,Pesticides (total),tonnes of active ingredients,40,24.55,1010
Angola,Potatoes,1990,hg/ha,4395,Pesticides (total),tonnes of active ingredients,64,24.12,1010
Angola,Potatoes,1991,hg/ha,4400,Pesticides (total),tonnes of active ingredients,79,24.02,1010
Angola,Potatoes,1992,hg/ha,4400,Pesticides (total),tonnes of active ingredients,23,23.96,1010
Angola,Potatoes,1993,hg/ha,4400,Pesticides (total),tonnes of active ingredients,169,24.15,1010
Angola,Potatoes,1994,hg/ha,4400,Pesticides (total),tonnes of active ingredients,25.5,24.04,1010
Angola,Potatoes,1995,hg/ha,4403,Pesticides (total),tonnes of active ingredients,336,24.56,1010
Angola,Potatoes,1996,hg/ha,4404,Pesticides (total),tonnes of active ingredients,40,24.11,1010
Angola,Potatoes,1997,hg/ha,4404,Pesticides (total),tonnes of active ingredients,40,24.06,1010
Angola,Potatoes,1998,hg/ha,4405,Pesticides (total),tonnes of active ingredients,40,24.96,1010
Angola,Potatoes,1999,hg/ha,4405,Pesticides (total),tonnes of active ingredients,40,24.37,1010
Angola,Potatoes,2000,hg/ha,4410,Pesticides (total),tonnes of active ingredients,40,24.41,1010
